user_id,session_id,subscription_type,user_journey
1516,2980231,Annual,Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Other
1516,2980248,Annual,Other-Sign up-Sign up-Sign up-Sign up-Sign up-Log in-Log in-Log in-Log in-Log in-Log in
1516,2992252,Annual,Log in-Log in-Log in-Log in-Log in-Log in
1516,3070491,Annual,Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
1516,3709807,Annual,Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
1516,3723132,Annual,Checkout-Checkout-Checkout-Checkout
1516,3723365,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
1516,3723382,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
1516,3723427,Annual,Checkout-Checkout
1516,3723483,Annual,Coupon-Coupon
1516,3723508,Annual,Checkout-Checkout-Checkout-Checkout
1516,3724778,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
1516,3726160,Annual,Checkout-Checkout
3395,1415870,Annual,Other-Other
3395,3645805,Annual,Pricing-Sign up-Sign up-Log in-Log in-Log in
3395,3657408,Annual,Homepage-Pricing
3395,3712148,Annual,Pricing-Checkout
3395,3713857,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
10107,360608,Annual,Homepage-Homepage
10107,360609,Annual,Homepage-Homepage-Homepage-Homepage-Homepage-Career tracks-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Sign up-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
10107,3653049,Annual,Homepage-Resources center-Resources center-Resources center-Resources center-Other
10107,3655508,Annual,Homepage-Career tracks-Career tracks-Career tracks
10107,3655510,Annual,Career tracks-Courses-Career tracks-Career tracks-Career tracks-Courses-Career tracks-Career tracks
10107,3655968,Annual,Career tracks-Log in-Log in-Log in-Log in-Log in-Log in-Log in
10107,3656751,Annual,Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in
10107,3656761,Annual,Checkout-Checkout
10107,3657001,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
10107,3657036,Annual,Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
10107,3657049,Annual,Checkout-Checkout
10107,3657083,Annual,Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
10107,3657114,Annual,Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
10107,3657143,Annual,Checkout-Checkout
10107,3657160,Annual,Checkout-Checkout
10107,3657165,Annual,Checkout-Checkout
11145,501166,Monthly,Homepage-Log in-Log in-Log in-Log in-Log in
11145,802038,Monthly,Homepage-Log in-Log in-Log in
11145,2173786,Monthly,Homepage-Log in
11145,2173790,Monthly,Homepage-Log in-Log in-Log in
11145,3604036,Monthly,Homepage-Log in-Log in-Log in
11145,3616619,Monthly,Log in-Log in
11145,3663283,Monthly,Homepage-Log in-Log in-Log in
11145,3732821,Monthly,Homepage-Log in-Log in-Log in-Log in-Log in
11145,3762550,Monthly,Homepage-Log in-Log in-Log in
11145,3820355,Monthly,Homepage-Log in-Log in-Log in
11145,3824728,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
12400,3981254,Monthly,Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Sign up-Sign up-Log in-Log in-Log in-Log in-Log in
12400,3981424,Monthly,Other-Career track certificate-Career track certificate-Resources center-Resources center-Resources center-Resources center-Resources center-Resources center-Resources center
12400,4007641,Monthly,Homepage-Instructors-Instructors-Homepage-Homepage-Log in-Log in-Log in
12400,4007777,Monthly,Checkout-Checkout
13082,4082241,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
13082,4170113,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
13082,4170146,Monthly,Checkout-Checkout
13082,4179007,Monthly,Homepage-Sign up-Sign up-Sign up-Sign up-Sign up-Log in-Log in
13082,4179383,Monthly,Checkout-Checkout
14415,3592143,Monthly,Pricing-Sign up-Pricing-Sign up-Sign up-Sign up-Sign up-Sign up
14415,3666190,Monthly,Homepage-Log in-Log in-Log in
14415,3722839,Monthly,Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
14415,3828098,Monthly,Checkout-Checkout
14415,3828133,Monthly,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,2360774,Annual,Log in-Log in-Log in-Log in
15630,2360797,Annual,Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
15630,2438194,Annual,Log in-Log in
15630,2654704,Annual,Log in-Log in
15630,2695814,Annual,Log in-Log in
15630,2747975,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,2748108,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,2748346,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,2748553,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,2751020,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,2751100,Annual,Checkout-Checkout
15630,2840652,Annual,Checkout-Checkout-Checkout-Checkout
15630,3092839,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,3525204,Annual,Pricing-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,4227640,Annual,Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other
15630,4227849,Annual,Homepage-Log in-Log in-Log in
15630,4227990,Annual,Checkout-Checkout-Checkout-Checkout
15630,4691158,Annual,Coupon-Coupon
15630,4714040,Annual,Homepage-Log in-Log in-Log in
15630,4745433,Annual,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
15630,4793691,Annual,Checkout-Checkout-Checkout-Checkout
16589,3493454,Quarterly,Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Career tracks-Career tracks-Career tracks-Career tracks-Career tracks-Homepage-Homepage-Homepage-Career tracks-Homepage-Career tracks-Homepage-Homepage-Homepage-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Sign up-Sign up-Sign up-Sign up-Sign up
16589,3503180,Quarterly,Homepage-Sign up-Sign up-Sign up-Sign up-Sign up
16589,3528526,Quarterly,Checkout-Checkout
19458,1625604,Annual,Homepage-Sign up
19458,1625657,Annual,Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
19458,1751858,Annual,Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in
19458,2438676,Annual,Log in-Log in-Log in-Log in
19458,4806190,Annual,Other-Other-Other-Other-Other-Other
19458,4840382,Annual,Homepage-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing-Pricing
19458,4840540,Annual,Homepage-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career track certificate
19458,4840581,Annual,Career tracks-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Career tracks-Career tracks-Career tracks-Career track certificate-Career tracks-Career tracks-Career tracks-Career tracks-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses
19458,4840878,Annual,Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
20355,4283897,Monthly,Pricing-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Courses-Career track certificate-Career track certificate-Career track certificate-Career track certificate-Pricing-Pricing-Pricing-Pricing-Pricing
